L1 Language,N Samples,N Errors,False Positives,FPR,Mean AI Prob,Std AI Prob,Median AI Prob
Arabic,10,0,6,0.6,0.5124902553856373,0.31229592823244906,0.5566441416740417
Azerbaijani,10,0,6,0.6,0.5150690715759992,0.2424311036474435,0.541280061006546
Chinese,10,0,7,0.7,0.6331360667943955,0.1567036476719923,0.6232038140296936
Farsi,10,0,6,0.6,0.5270836034789681,0.24576073687068659,0.6212696731090546
French,10,0,5,0.5,0.5160543330013752,0.21816017820241268,0.5290720611810684
German,10,0,7,0.7,0.7005044370889664,0.2505815094136915,0.8479441404342651
Hebrew,10,0,6,0.6,0.5689013067632913,0.23959515911894275,0.5943121314048767
Indonesian,10,0,7,0.7,0.5774860188364983,0.2294910763123767,0.6037808060646057
Italian,10,0,9,0.9,0.725326555967331,0.19222033830115123,0.8147068917751312
Japanese,10,0,8,0.8,0.5769836015999317,0.24540835057780028,0.5829219222068787
Korean,10,0,8,0.8,0.5854730844497681,0.2992934106363927,0.6332365572452545
Mongol,10,0,6,0.6,0.5326325550675393,0.21104806539874219,0.5900663435459137
Portuguese,10,0,8,0.8,0.5740489311516285,0.24881343999169417,0.5607521533966064
Russian,10,0,9,0.9,0.7510562658309936,0.22812126078309175,0.8287990987300873
Spanish,10,0,6,0.6,0.6008063547313214,0.2706229364143917,0.600329577922821
Suundi,10,0,9,0.9,0.7083903908729553,0.14491232461334827,0.6860867440700531
Taiwanese,10,0,7,0.7,0.5962074504233896,0.30542862875892174,0.6982378363609314
Thai,10,0,6,0.6,0.5663730263710022,0.15473325630530016,0.517178863286972
Turkish,10,0,6,0.6,0.5879110410809517,0.20006644422115288,0.5636875331401825
Vietnamese,10,0,5,0.5,0.4812437132000923,0.26369368139818505,0.525081604719162
